"Item" "Order" "SubjectNo" "Room"
"FireExtinguisher" 1 "P84" "Bedroom"
"WineBottle" 2 "P84" "Bedroom"
"Matrioshka" 3 "P84" "Bedroom"
"Canister" 4 "P84" "Bedroom"
"Recorder" 5 "P84" "Bedroom"
"Microphone" 6 "P84" "Bedroom"
"CoffeeMachine" 1 "P84" "Classroom"
"Hammer" 2 "P84" "Classroom"
"Basket" 3 "P84" "Classroom"
"MobilePhone" 4 "P84" "Classroom"
"NailScissors" 5 "P84" "Classroom"
"FirstAidKit" 6 "P84" "Classroom"
"Pumpkin" 1 "P84" "Gym"
"RockingHorse" 2 "P84" "Gym"
"ShowerHead" 3 "P84" "Gym"
"PaperCoffeeCup" 4 "P84" "Gym"
"BallonDog" 5 "P84" "Gym"
"Glasses" 6 "P84" "Gym"
"HTCVive" 1 "P84" "Library"
"Official hat" 2 "P84" "Library"
"DeskLight" 3 "P84" "Library"
"Clamps" 4 "P84" "Library"
"MosquitoRacket" 5 "P84" "Library"
"Bread" 6 "P84" "Library"
"Chaynik" 1 "P84" "LivingRoom"
"OldRadio" 2 "P84" "LivingRoom"
"Toothpaste" 3 "P84" "LivingRoom"
"TennisBall" 4 "P84" "LivingRoom"
"CokeCan" 5 "P84" "LivingRoom"
"Laptop" 6 "P84" "LivingRoom"
"Pinza" 1 "P84" "StorageRoom"
"Router" 2 "P84" "StorageRoom"
"CinRoll" 3 "P84" "StorageRoom"
"Jug" 4 "P84" "StorageRoom"
"StrawberryDonut" 5 "P84" "StorageRoom"
"UGGboot" 6 "P84" "StorageRoom"
