"Item" "Order" "SubjectNo" "Room"
"Cabbaage" 1 "P53" "Bedroom"
"EggBeater" 2 "P53" "Bedroom"
"Avocado" 3 "P53" "Bedroom"
"Mushroom" 4 "P53" "Bedroom"
"SaltSub" 5 "P53" "Bedroom"
"Spoons" 6 "P53" "Bedroom"
"JBLSpeaker" 1 "P53" "Classroom"
"Paprika" 2 "P53" "Classroom"
"MechanicalGloves" 3 "P53" "Classroom"
"Mouse" 4 "P53" "Classroom"
"HandDrill" 5 "P53" "Classroom"
"BaseballBat" 6 "P53" "Classroom"
"Kettle" 1 "P53" "Gym"
"Headphones" 2 "P53" "Gym"
"Padella" 3 "P53" "Gym"
"Typewriter" 4 "P53" "Gym"
"PencilSharpener" 5 "P53" "Gym"
"Calculator" 6 "P53" "Gym"
"CleaningBucket" 1 "P53" "Library"
"Openner" 2 "P53" "Library"
"Controller" 3 "P53" "Library"
"OfficeBin" 4 "P53" "Library"
"RugbyBall" 5 "P53" "Library"
"Apple" 6 "P53" "Library"
"HTCViveController" 1 "P53" "LivingRoom"
"Stapler" 2 "P53" "LivingRoom"
"Grape" 3 "P53" "LivingRoom"
"Squeezer" 4 "P53" "LivingRoom"
"Toaster" 5 "P53" "LivingRoom"
"NikonCamera" 6 "P53" "LivingRoom"
"PiggyBank" 1 "P53" "StorageRoom"
"Pineapple" 2 "P53" "StorageRoom"
"Teacup" 3 "P53" "StorageRoom"
"MilkCarton" 4 "P53" "StorageRoom"
"Muffin" 5 "P53" "StorageRoom"
"MokeExpress" 6 "P53" "StorageRoom"
