Object,Scene,Response,Rt
Pinza,Classroom,Familiar,1.233414
Coconut,None,Seen,1.116837
PeanutButter,Gym,New,1.067028
Brush,Kindergarten,New,1.067011
Cube,None,Seen,1.283581
Mixer,Cafe,Seen,1.433659
Sandals,LivingRoom,New,1.166759
Spoons,None,New,1.050362
Hammer,None,Seen,1.083652
Apple,Bedroom,Familiar,0.9834709
Basket,Office,Seen,0.9334183
ClothesBasket,Museum,New,1.050209
RockingHorse,MeetingRoom,New,1.416901
RugbyBall,None,Seen,1.483669
Tide,None,New,1.116722
Banana,MeetingRoom,New,0.9335022
Cupcake,Kitchen,New,0.8169632
Controller,SPA,Seen,1.316868
Candle Lattern,None,Seen,1.134163
Jug,ArtStudio,Familiar,1.233322
Deer,LivingRoom,New,1.716866
Xmas Globe,ArtStudio,New,1.100914
Teacup,Lounge,Familiar,1.150078
MechanicalGloves,ArtStudio,Seen,0.833519
Car02,ArtStudio,Familiar,1.168404
Canister_FLIPPED,KTV,Familiar,1.200172
Typewriter,Gym,Seen,1.016876
PaintBucket,None,Seen,0.7669067
Basketball,ArtStudio,Seen,0.8002853
MetalBucket,KTV,Seen,0.7834625
Lotion_FLIPPED,LivingRoom,New,2.150444
Ketchup_FLIPPED,Gym,New,0.7169189
Highlighter,Kitchen,New,0.8336029
Downy,None,New,1.066864
ToothBrush,None,New,1.016937
Kela,MeetingRoom,New,1.417
Chips,Museum,New,1.483551
CottonSticks,SPA,Familiar,1.084641
Vanish_FLIPPED,Gym,New,1.00016
Glasses,Gym,New,1.016731
Motorbike,SPA,New,1.633766
FirstAidKit,None,Familiar,1.40007
MilkCarton,None,Familiar,1.183311
Lipsticks,Bedroom,Seen,1.283531
RetroFan,Museum,Seen,0.8003616
Burger,KTV,New,1.400696
Marmite,Bedroom,New,0.8835907
Avocado,StorageRoom,New,1.000214
BirdCage,Office,Familiar,1.700302
Grape,None,New,0.8669128
Caiban,None,New,1.100327
BaseballBat,Kindergarten,Seen,0.683609
Lasagna,None,New,1.083435
FacialCream_FLIPPED,StorageRoom,New,5.116898
Bus,None,Seen,1.434341
TennisBall,None,Seen,0.6667023
MosquitoRacket,Library,Familiar,1.716949
FiellaCase,None,Seen,0.9168091
PencilSharpener,None,Seen,1.133347
Buiscuits,Library,Familiar,2.033295
MokaEspress,Kitchen,Seen,1.10025
CoffeePot,Cafe,Seen,0.8670044
Cocktail,None,New,0.9832458
HTCViveController,Bedroom,Familiar,0.883606
CinRoll,None,New,1.516632
Pumpkin,StorageRoom,Familiar,1.7668
Perrier,None,Familiar,1.433578
Laptop_FLIPPED,StorageRoom,Seen,2.819962
Scent,Classroom,New,1.283554
SecurityCam,Museum,New,1.133347
LegoTruck,Kitchen,Familiar,1.00116
Printer,None,Seen,0.7669373
Headphones,KTV,Familiar,1.233658
Leaf,None,New,1.183426
NikonCamera,None,Seen,1.016983
UGGboot,Museum,Seen,1.666718
Openner,Lounge,Seen,0.9334412
Strawberries,Cafe,New,1.133881
Pineapple,Office,New,0.9002686
OldRadio,SPA,Seen,0.6669159
Cake,Lounge,Seen,1.184006
Chaynik,None,Seen,1.166779
MobilePhone_FLIPPED,Classroom,New,1.600143
Kiwi,Gym,New,0.7167969
Pomegranate,None,New,2.58345
Wheels,Office,New,1.366791
SaltSub,Lounge,New,1.467041
Dog,LivingRoom,New,0.9170532
DeskLight,Library,Seen,1.767044
RasberryJam,None,Familiar,1.883667
Oranges,None,New,0.8840637
Broccoli,None,New,1.250153
FireHydrant,None,New,1.150253
Skateboard,LivingRoom,Seen,1.700195
CandyBar,StorageRoom,New,1.367035
Router,Kindergarten,New,0.9335632
HandDrill,MeetingRoom,Seen,1.016632
CleaningBucket,Library,Familiar,0.9501648
StrawberryDonut,SPA,New,1.450012
CacerolaPan,Kindergarten,Seen,1.533691
Shoe,SPA,Seen,0.9335022
Mango,Cafe,Familiar,1.200195
Paprika,Office,New,1.083679
IceBoots,None,Familiar,1.800385
Pears,KTV,New,0.900177
Clamps,None,New,1.083679
Garlic,Kindergarten,New,0.8334351
Jam,MeetingRoom,New,0.8346252
PiggyBank,None,Seen,1.117035
EggBeater,Lounge,Familiar,0.8669739
Squeezer,Kitchen,Familiar,0.7668457
Suitcase_FLIPPED,KTV,Seen,1.083496
Dish,Office,New,1.366882
OfficeBin,LivingRoom,New,0.8669739
Clock,None,Seen,0.9168396
HTCVive,StorageRoom,Seen,1.016296
Mushroom,None,Familiar,0.6502075
Official hat,Bedroom,Familiar,0.9005127
Cucumber,Lounge,New,0.73349
Car01,Classroom,Familiar,1.383484
BandShell,ArtStudio,New,1.450226
AmazonEcho,None,New,0.9503479
BallonDog,Library,Seen,0.9501038
NailScissors,Cafe,Seen,0.7003174
JBLSpeaker,MeetingRoom,Familiar,1.100067
YellowDuck,Bedroom,Familiar,1.666779
PaperCoffeeCup,None,Seen,1.300232
Weimeng,None,New,1.366974
Calculator,None,Familiar,1.533417
Markers,Kitchen,Seen,1.251312
OrangeJuice_FLIPPED,Classroom,Seen,1.40033
Kettle,None,Familiar,2.217163
Cereal,None,New,1.533447
Ganmianzhang,None,Seen,0.9836121
Matrioshka,Library,Familiar,1.150116
HandHeldRadio,Classroom,Seen,1.583832
Icecream,Kindergarten,Familiar,1.650055
ShowerHead,Cafe,Familiar,2.783661
Muffin,None,New,0.9501038
CoffeeMachine,None,New,1.000244
Flower,None,New,1.050232
Honey_FLIPPED,Museum,Seen,1.133545
FireExtinguisher,None,Seen,1.033386
Toothpaste,None,Seen,1.016815

