"Item" "Order" "SubjectNo" "Room"
"Openner" 1 "P55" "Bedroom"
"Stapler" 2 "P55" "Bedroom"
"CleaningBucket" 3 "P55" "Bedroom"
"MokeExpress" 4 "P55" "Bedroom"
"Toaster" 5 "P55" "Bedroom"
"Cabbaage" 6 "P55" "Bedroom"
"EggBeater" 1 "P55" "Classroom"
"Paprika" 2 "P55" "Classroom"
"Mushroom" 3 "P55" "Classroom"
"Avocado" 4 "P55" "Classroom"
"Squeezer" 5 "P55" "Classroom"
"MilkCarton" 6 "P55" "Classroom"
"Kettle" 1 "P55" "Gym"
"JBLSpeaker" 2 "P55" "Gym"
"Grape" 3 "P55" "Gym"
"MechanicalGloves" 4 "P55" "Gym"
"Calculator" 5 "P55" "Gym"
"Typewriter" 6 "P55" "Gym"
"NikonCamera" 1 "P55" "Library"
"BaseballBat" 2 "P55" "Library"
"Pineapple" 3 "P55" "Library"
"PencilSharpener" 4 "P55" "Library"
"OfficeBin" 5 "P55" "Library"
"HTCViveController" 6 "P55" "Library"
"Controller" 1 "P55" "LivingRoom"
"Spoons" 2 "P55" "LivingRoom"
"Muffin" 3 "P55" "LivingRoom"
"SaltSub" 4 "P55" "LivingRoom"
"Apple" 5 "P55" "LivingRoom"
"Padella" 6 "P55" "LivingRoom"
"Mouse" 1 "P55" "StorageRoom"
"Headphones" 2 "P55" "StorageRoom"
"Teacup" 3 "P55" "StorageRoom"
"HandDrill" 4 "P55" "StorageRoom"
"RugbyBall" 5 "P55" "StorageRoom"
"PiggyBank" 6 "P55" "StorageRoom"
