Room,Curiosity,Interest
ArtStudio,8,9
LivingRoom,2,3
Cafe,4,4
MeetingRoom,3,1
Bedroom,5,6
SPA,7,4
Library,8,7
Office,3,5
Classroom,6,1
Gym,3,3
StorageRoom,2,1
Kindergarten,6,7
Museum,10,8
KTV,5,4
Lounge,4,2
Kitchen,7,6

