Room,Curiosity,Interest
SPA,7,8
Bedroom,4,6
Lounge,5,6
Kitchen,5,5
Gym,6,6
MeetingRoom,3,3
KTV,6,7
Cafe,5,6
Museum,2,2
LivingRoom,4,5
Office,3,4
Library,8,7
Kindergarten,7,7
Classroom,6,5
StorageRoom,8,6
ArtStudio,7,7

