"Item" "Order" "SubjectNo" "Room"
"FireExtinguisher" 1 "P49" "Bedroom"
"Chaynik" 2 "P49" "Bedroom"
"PaperCoffeeCup" 3 "P49" "Bedroom"
"FirstAidKit" 4 "P49" "Bedroom"
"Hammer" 5 "P49" "Bedroom"
"MobilePhone" 6 "P49" "Bedroom"
"Official hat" 1 "P49" "Classroom"
"Canister" 2 "P49" "Classroom"
"CokeCan" 3 "P49" "Classroom"
"HTCVive" 4 "P49" "Classroom"
"Basket" 5 "P49" "Classroom"
"OldRadio" 6 "P49" "Classroom"
"Toothpaste" 1 "P49" "Gym"
"RockingHorse" 2 "P49" "Gym"
"Microphone" 3 "P49" "Gym"
"Pumpkin" 4 "P49" "Gym"
"MosquitoRacket" 5 "P49" "Gym"
"Bread" 6 "P49" "Gym"
"CoffeeMachine" 1 "P49" "Library"
"Router" 2 "P49" "Library"
"Pinza" 3 "P49" "Library"
"TennisBall" 4 "P49" "Library"
"BallonDog" 5 "P49" "Library"
"Laptop" 6 "P49" "Library"
"Matrioshka" 1 "P49" "LivingRoom"
"Jug" 2 "P49" "LivingRoom"
"Recorder" 3 "P49" "LivingRoom"
"Glasses" 4 "P49" "LivingRoom"
"UGGboot" 5 "P49" "LivingRoom"
"DeskLight" 6 "P49" "LivingRoom"
"NailScissors" 1 "P49" "StorageRoom"
"StrawberryDonut" 2 "P49" "StorageRoom"
"ShowerHead" 3 "P49" "StorageRoom"
"WineBottle" 4 "P49" "StorageRoom"
"Clamps" 5 "P49" "StorageRoom"
"CinRoll" 6 "P49" "StorageRoom"
