Room,OutsideDuration,InsideDuration
ArtStudio,30.9552,98.15891
Gym,33.16546,35.49745
Lounge,29.61985,48.66145
Kitchen,34.4058,71.30186
Cafe,37.51938,65.55863
KTV,43.93818,58.10617
Kindergarten,35.89319,44.44569
StorageRoom,31.92402,18.99533
SPA,32.42278,38.78708
Bedroom,30.76205,80.50546
Museum,33.04693,52.41603
MeetingRoom,29.75531,16.80422
Library,30.55388,33.81725
Classroom,26.4168,12.57156
Office,41.23503,19.09069

