Room,Curiosity,Interest
ArtStudio,5,8
Gym,7,4
Lounge,2,6
Kitchen,5,8
Cafe,2,4
KTV,7,9
Kindergarten,3,6
StorageRoom,1,2
SPA,9,9
Bedroom,6,7
Museum,8,6
MeetingRoom,3,4
Library,3,8
Classroom,5,2
Office,3,6

