"Item" "Order" "SubjectNo" "Room"
"Avocado" 1 "P75" "Bedroom"
"PencilSharpener" 2 "P75" "Bedroom"
"Muffin" 3 "P75" "Bedroom"
"MechanicalGloves" 4 "P75" "Bedroom"
"MokeExpress" 5 "P75" "Bedroom"
"Calculator" 6 "P75" "Bedroom"
"OfficeBin" 1 "P75" "Classroom"
"Mouse" 2 "P75" "Classroom"
"BaseballBat" 3 "P75" "Classroom"
"HTCViveController" 4 "P75" "Classroom"
"Apple" 5 "P75" "Classroom"
"Spoons" 6 "P75" "Classroom"
"PiggyBank" 1 "P75" "Gym"
"Paprika" 2 "P75" "Gym"
"SaltSub" 3 "P75" "Gym"
"Stapler" 4 "P75" "Gym"
"Openner" 5 "P75" "Gym"
"RugbyBall" 6 "P75" "Gym"
"Squeezer" 1 "P75" "Library"
"NikonCamera" 2 "P75" "Library"
"Teacup" 3 "P75" "Library"
"Typewriter" 4 "P75" "Library"
"Kettle" 5 "P75" "Library"
"Grape" 6 "P75" "Library"
"Toaster" 1 "P75" "LivingRoom"
"Mushroom" 2 "P75" "LivingRoom"
"Cabbaage" 3 "P75" "LivingRoom"
"Headphones" 4 "P75" "LivingRoom"
"Padella" 5 "P75" "LivingRoom"
"CleaningBucket" 6 "P75" "LivingRoom"
"EggBeater" 1 "P75" "StorageRoom"
"MilkCarton" 2 "P75" "StorageRoom"
"Pineapple" 3 "P75" "StorageRoom"
"Controller" 4 "P75" "StorageRoom"
"HandDrill" 5 "P75" "StorageRoom"
"JBLSpeaker" 6 "P75" "StorageRoom"
