"Item" "Order" "SubjectNo" "Room"
"Canister" 1 "P65" "Bedroom"
"Clamps" 2 "P65" "Bedroom"
"Jug" 3 "P65" "Bedroom"
"MosquitoRacket" 4 "P65" "Bedroom"
"HTCVive" 5 "P65" "Bedroom"
"DeskLight" 6 "P65" "Bedroom"
"PaperCoffeeCup" 1 "P65" "Classroom"
"CokeCan" 2 "P65" "Classroom"
"FireExtinguisher" 3 "P65" "Classroom"
"ShowerHead" 4 "P65" "Classroom"
"NailScissors" 5 "P65" "Classroom"
"Bread" 6 "P65" "Classroom"
"MobilePhone" 1 "P65" "Gym"
"FirstAidKit" 2 "P65" "Gym"
"Pinza" 3 "P65" "Gym"
"BallonDog" 4 "P65" "Gym"
"Laptop" 5 "P65" "Gym"
"CoffeeMachine" 6 "P65" "Gym"
"Matrioshka" 1 "P65" "Library"
"StrawberryDonut" 2 "P65" "Library"
"Router" 3 "P65" "Library"
"TennisBall" 4 "P65" "Library"
"OldRadio" 5 "P65" "Library"
"Pumpkin" 6 "P65" "Library"
"Hammer" 1 "P65" "LivingRoom"
"CinRoll" 2 "P65" "LivingRoom"
"RockingHorse" 3 "P65" "LivingRoom"
"Microphone" 4 "P65" "LivingRoom"
"UGGboot" 5 "P65" "LivingRoom"
"Toothpaste" 6 "P65" "LivingRoom"
"Chaynik" 1 "P65" "StorageRoom"
"Basket" 2 "P65" "StorageRoom"
"Official hat" 3 "P65" "StorageRoom"
"Glasses" 4 "P65" "StorageRoom"
"WineBottle" 5 "P65" "StorageRoom"
"Recorder" 6 "P65" "StorageRoom"
