"Item" "Order" "SubjectNo" "Room"
"Muffin" 1 "P73" "Bedroom"
"Avocado" 2 "P73" "Bedroom"
"Cabbaage" 3 "P73" "Bedroom"
"Grape" 4 "P73" "Bedroom"
"NikonCamera" 5 "P73" "Bedroom"
"MokeExpress" 6 "P73" "Bedroom"
"CleaningBucket" 1 "P73" "Classroom"
"HTCViveController" 2 "P73" "Classroom"
"JBLSpeaker" 3 "P73" "Classroom"
"Spoons" 4 "P73" "Classroom"
"PencilSharpener" 5 "P73" "Classroom"
"Headphones" 6 "P73" "Classroom"
"Controller" 1 "P73" "Gym"
"Padella" 2 "P73" "Gym"
"Calculator" 3 "P73" "Gym"
"Apple" 4 "P73" "Gym"
"Openner" 5 "P73" "Gym"
"OfficeBin" 6 "P73" "Gym"
"EggBeater" 1 "P73" "Library"
"Typewriter" 2 "P73" "Library"
"Mushroom" 3 "P73" "Library"
"Kettle" 4 "P73" "Library"
"Pineapple" 5 "P73" "Library"
"Paprika" 6 "P73" "Library"
"Teacup" 1 "P73" "LivingRoom"
"PiggyBank" 2 "P73" "LivingRoom"
"RugbyBall" 3 "P73" "LivingRoom"
"MechanicalGloves" 4 "P73" "LivingRoom"
"Toaster" 5 "P73" "LivingRoom"
"Squeezer" 6 "P73" "LivingRoom"
"BaseballBat" 1 "P73" "StorageRoom"
"SaltSub" 2 "P73" "StorageRoom"
"Mouse" 3 "P73" "StorageRoom"
"MilkCarton" 4 "P73" "StorageRoom"
"Stapler" 5 "P73" "StorageRoom"
"HandDrill" 6 "P73" "StorageRoom"
