BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-1,12.5,57,Canister,Left
2,7.5,11.02,58,Pinza,Left
3,-0.5,9.6,58,Jug,Left
4,-2.95,9.6,53,MobilePhone,Left
5,-6,9.6,44,TennisBall,Left
6,5.5,9.6,50.25,Router,Left

