BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,0.8,9.6,44.2,BallonDog,Left
2,-7.5,9.6,44,StrawberryDonut,Left
3,-7,9.6,56,Microphone,Right
4,-1,9.6,57,Official hat,Left
5,5,9.6,55,ShowerHead,Right
6,7.25,9.6,50,OldRadio,Right

