Room,Curiosity,Interest
Gym,4,7
StorageRoom,1,1
Library,7,6
Office,3,7
Cafe,6,8
Museum,9,10
Bedroom,5,7
Classroom,8,4
KTV,6,6
ArtStudio,4,7
Kitchen,5,7
Lounge,8,3
SPA,6,9
Kindergarten,4,9
MeetingRoom,1,2
LivingRoom,7,8

