"Item" "Order" "SubjectNo" "Room"
"Muffin" 1 "P26" "Bedroom"
"NikonCamera" 2 "P26" "Bedroom"
"Calculator" 3 "P26" "Bedroom"
"Grape" 4 "P26" "Bedroom"
"Typewriter" 5 "P26" "Bedroom"
"Toaster" 6 "P26" "Bedroom"
"Kettle" 1 "P26" "Classroom"
"HandDrill" 2 "P26" "Classroom"
"Padella" 3 "P26" "Classroom"
"Mushroom" 4 "P26" "Classroom"
"Mouse" 5 "P26" "Classroom"
"EggBeater" 6 "P26" "Classroom"
"Pineapple" 1 "P26" "Gym"
"Apple" 2 "P26" "Gym"
"PencilSharpener" 3 "P26" "Gym"
"Squeezer" 4 "P26" "Gym"
"SaltSub" 5 "P26" "Gym"
"Cabbaage" 6 "P26" "Gym"
"BaseballBat" 1 "P26" "Library"
"Headphones" 2 "P26" "Library"
"Avocado" 3 "P26" "Library"
"PiggyBank" 4 "P26" "Library"
"OfficeBin" 5 "P26" "Library"
"Controller" 6 "P26" "Library"
"Openner" 1 "P26" "LivingRoom"
"Teacup" 2 "P26" "LivingRoom"
"Paprika" 3 "P26" "LivingRoom"
"HTCViveController" 4 "P26" "LivingRoom"
"RugbyBall" 5 "P26" "LivingRoom"
"CleaningBucket" 6 "P26" "LivingRoom"
"Spoons" 1 "P26" "StorageRoom"
"MilkCarton" 2 "P26" "StorageRoom"
"MechanicalGloves" 3 "P26" "StorageRoom"
"Stapler" 4 "P26" "StorageRoom"
"MokeExpress" 5 "P26" "StorageRoom"
"JBLSpeaker" 6 "P26" "StorageRoom"
