"Room","Object","Order"
"Bedroom","UGGboot",1
"Bedroom","StrawberryDonut",2
"Bedroom","BallonDog",3
"Bedroom","Official hat",4
"Bedroom","Bread",5
"Bedroom","OldRadio",6
"Library","DeskLight",1
"Library","NailScissors",2
"Library","Pinza",3
"Library","Glasses",4
"Library","Canister",5
"Library","Clamps",6
"LivingRoom","HTCVive",1
"LivingRoom","MobilePhone",2
"LivingRoom","Recorder",3
"LivingRoom","CoffeeMachine",4
"LivingRoom","Jug",5
"LivingRoom","Matrioshka",6
"StorageRoom","Router",1
"StorageRoom","FirstAidKit",2
"StorageRoom","Microphone",3
"StorageRoom","CokeCan",4
"StorageRoom","Laptop",5
"StorageRoom","PaperCoffeeCup",6
"Classroom","FireExtinguisher",1
"Classroom","TennisBall",2
"Classroom","Basket",3
"Classroom","Hammer",4
"Classroom","MosquitoRacket",5
"Gym","Pumpkin",1
"Gym","CinRoll",2
"Gym","RockingHorse",3
"Gym","ShowerHead",4
"Gym","Chaynik",5
