"Item" "Order" "SubjectNo" "Room"
"Kettle" 1 "P78" "Bedroom"
"Pineapple" 2 "P78" "Bedroom"
"Grape" 3 "P78" "Bedroom"
"Paprika" 4 "P78" "Bedroom"
"Controller" 5 "P78" "Bedroom"
"Cabbaage" 6 "P78" "Bedroom"
"Mouse" 1 "P78" "Classroom"
"HTCViveController" 2 "P78" "Classroom"
"MilkCarton" 3 "P78" "Classroom"
"Squeezer" 4 "P78" "Classroom"
"Openner" 5 "P78" "Classroom"
"EggBeater" 6 "P78" "Classroom"
"MokeExpress" 1 "P78" "Gym"
"SaltSub" 2 "P78" "Gym"
"OfficeBin" 3 "P78" "Gym"
"PiggyBank" 4 "P78" "Gym"
"Muffin" 5 "P78" "Gym"
"PencilSharpener" 6 "P78" "Gym"
"Teacup" 1 "P78" "Library"
"Mushroom" 2 "P78" "Library"
"BaseballBat" 3 "P78" "Library"
"MechanicalGloves" 4 "P78" "Library"
"Apple" 5 "P78" "Library"
"Avocado" 6 "P78" "Library"
"HandDrill" 1 "P78" "LivingRoom"
"Stapler" 2 "P78" "LivingRoom"
"Toaster" 3 "P78" "LivingRoom"
"CleaningBucket" 4 "P78" "LivingRoom"
"Typewriter" 5 "P78" "LivingRoom"
"Padella" 6 "P78" "LivingRoom"
"NikonCamera" 1 "P78" "StorageRoom"
"Spoons" 2 "P78" "StorageRoom"
"RugbyBall" 3 "P78" "StorageRoom"
"Headphones" 4 "P78" "StorageRoom"
"JBLSpeaker" 5 "P78" "StorageRoom"
"Calculator" 6 "P78" "StorageRoom"
