Room,Curiosity,Interest
Library,5,7
Kitchen,4,3
Kindergarten,4,5
Gym,5,5
Bedroom,5,6
KTV,7,8
Office,2,5
SPA,8,9
ArtStudio,8,3
Museum,3,8
LivingRoom,4,3
StorageRoom,2,2
MeetingRoom,3,2
Cafe,4,5
Classroom,3,2
Lounge,4,6

