Room,Curiosity,Interest
Cafe,2,2
SPA,3,5
Office,1,2
Library,3,4
Classroom,3,1
Kindergarten,4,6
ArtStudio,5,6
KTV,3,4
LivingRoom,4,5
Bedroom,4,5
MeetingRoom,3,2
Lounge,3,3
StorageRoom,1,1
Museum,5,5
Kitchen,3,4
Gym,1,3

