BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,2,9.6,43,Kettle,Right
2,6,9.6,51.8,Pineapple,Right
3,-7,9.6,58,Grape,Left
4,-2.25,9.6,53,Paprika,Left
5,-7,11.02,49.5,Controller,Right
6,1.6,12.55,56.7,Cabbaage,Left

