Room,Curiosity,Interest
KTV,3,4
ArtStudio,5,5
Office,3,2
Kitchen,4,4
Gym,5,4
LivingRoom,5,6
StorageRoom,3,2
Museum,6,6
Lounge,5,4
Bedroom,5,6
MeetingRoom,2,2
Cafe,5,4
Library,4,4
SPA,3,5
Classroom,4,3
Kindergarten,4,4

