"Item" "Order" "SubjectNo" "Room"
"Apple" 1 "P70" "Bedroom"
"Kettle" 2 "P70" "Bedroom"
"BaseballBat" 3 "P70" "Bedroom"
"HandDrill" 4 "P70" "Bedroom"
"Teacup" 5 "P70" "Bedroom"
"Stapler" 6 "P70" "Bedroom"
"Mouse" 1 "P70" "Classroom"
"OfficeBin" 2 "P70" "Classroom"
"Cabbaage" 3 "P70" "Classroom"
"Padella" 4 "P70" "Classroom"
"Openner" 5 "P70" "Classroom"
"Squeezer" 6 "P70" "Classroom"
"Pineapple" 1 "P70" "Gym"
"HTCViveController" 2 "P70" "Gym"
"CleaningBucket" 3 "P70" "Gym"
"EggBeater" 4 "P70" "Gym"
"MechanicalGloves" 5 "P70" "Gym"
"PencilSharpener" 6 "P70" "Gym"
"MokeExpress" 1 "P70" "Library"
"Calculator" 2 "P70" "Library"
"Controller" 3 "P70" "Library"
"RugbyBall" 4 "P70" "Library"
"Muffin" 5 "P70" "Library"
"NikonCamera" 6 "P70" "Library"
"Toaster" 1 "P70" "LivingRoom"
"Headphones" 2 "P70" "LivingRoom"
"PiggyBank" 3 "P70" "LivingRoom"
"SaltSub" 4 "P70" "LivingRoom"
"JBLSpeaker" 5 "P70" "LivingRoom"
"MilkCarton" 6 "P70" "LivingRoom"
"Spoons" 1 "P70" "StorageRoom"
"Paprika" 2 "P70" "StorageRoom"
"Typewriter" 3 "P70" "StorageRoom"
"Grape" 4 "P70" "StorageRoom"
"Mushroom" 5 "P70" "StorageRoom"
"Avocado" 6 "P70" "StorageRoom"
