"SubjectNo","Context","Group","CurRating","RoomOrder","Duration","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P01","Bedroom","Familiar",5,"First",NA,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.0185185185185185,0.222222222222222,0.333333333333333,-0.0185185185185185
"P01","Classroom","Familiar",3,"Second",NA,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.0185185185185185,0.222222222222222,0.333333333333333,-0.0185185185185185
"P01","Gym","Familiar",3,"Second",NA,0.833333333333333,0.833333333333333,0,0.111111111111111,0,0.0185185185185185,0.722222222222222,0.833333333333333,-0.0185185185185185
"P01","Library","Novel",4,"First",NA,0.666666666666667,0.5,0,0.111111111111111,0,0.0185185185185185,0.555555555555556,0.5,-0.0185185185185185
"P01","LivingRoom","Novel",7,"Second",NA,0.833333333333333,0.833333333333333,0.166666666666667,0.111111111111111,0,0.0185185185185185,0.722222222222222,0.833333333333333,0.148148148148148
"P01","StorageRoom","Novel",7,"First",NA,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.0185185185185185,0.222222222222222,0.333333333333333,-0.0185185185185185
"P02","Bedroom","Familiar",4,"Second",NA,0.5,0.333333333333333,0,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.333333333333333,-0.0555555555555556
"P02","Classroom","Familiar",4,"Second",NA,1,0.5,0.333333333333333,0.166666666666667,0,0.0555555555555556,0.833333333333333,0.5,0.277777777777778
"P02","Gym","Familiar",3,"Second",NA,0.5,0.333333333333333,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.333333333333333,0.111111111111111
"P02","Library","Novel",4,"First",NA,1,0.5,0.333333333333333,0.166666666666667,0,0.0555555555555556,0.833333333333333,0.5,0.277777777777778
"P02","LivingRoom","Novel",5,"First",NA,0.5,0.333333333333333,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.333333333333333,0.111111111111111
"P02","StorageRoom","Novel",4,"First",NA,0.833333333333333,0.5,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.666666666666667,0.5,0.111111111111111
"P03","Bedroom","Familiar",5,"First",NA,0.333333333333333,0,0.166666666666667,0.388888888888889,0.0555555555555556,0.12962962962963,-0.0555555555555556,-0.0555555555555556,0.037037037037037
"P03","Classroom","Familiar",4,"Second",NA,1,0.333333333333333,0.666666666666667,0.388888888888889,0.0555555555555556,0.12962962962963,0.611111111111111,0.277777777777778,0.537037037037037
"P03","Gym","Familiar",1,"Second",NA,0.333333333333333,0,0,0.388888888888889,0.0555555555555556,0.12962962962963,-0.0555555555555556,-0.0555555555555556,-0.12962962962963
"P03","Library","Novel",7,"First",NA,0.333333333333333,0,0,0.388888888888889,0.0555555555555556,0.12962962962963,-0.0555555555555556,-0.0555555555555556,-0.12962962962963
"P03","LivingRoom","Novel",7,"Second",NA,0.166666666666667,0,0,0.388888888888889,0.0555555555555556,0.12962962962963,-0.222222222222222,-0.0555555555555556,-0.12962962962963
"P03","StorageRoom","Novel",3,"First",NA,0.833333333333333,0.333333333333333,0.333333333333333,0.388888888888889,0.0555555555555556,0.12962962962963,0.444444444444444,0.277777777777778,0.203703703703704
"P04","Bedroom","Familiar",5,"First",NA,0.833333333333333,0.666666666666667,0.5,0.166666666666667,0,0.0555555555555556,0.666666666666667,0.666666666666667,0.444444444444444
"P04","Classroom","Familiar",3,"Second",NA,0.666666666666667,0.5,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.5,0.5,0.111111111111111
"P04","Gym","Familiar",5,"Second",NA,0.666666666666667,0.5,0,0.166666666666667,0,0.0555555555555556,0.5,0.5,-0.0555555555555556
"P04","Library","Novel",4,"First",NA,0.833333333333333,0.833333333333333,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.666666666666667,0.833333333333333,0.111111111111111
"P04","LivingRoom","Novel",3,"Second",NA,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.5,0.666666666666667,0.111111111111111
"P04","StorageRoom","Novel",3,"First",NA,0.666666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0,0.0555555555555556,0.5,0.166666666666667,0.277777777777778
"P05","Bedroom","Familiar",1,"Second",NA,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,0.666666666666667,0.333333333333333
"P05","Classroom","Familiar",1,"Second",NA,0.5,0.5,0.333333333333333,0,0,0,0.5,0.5,0.333333333333333
"P05","Gym","Familiar",1,"Second",NA,0.833333333333333,0.5,0.166666666666667,0,0,0,0.833333333333333,0.5,0.166666666666667
"P05","Library","Novel",7,"First",NA,0.666666666666667,0.5,0.5,0,0,0,0.666666666666667,0.5,0.5
"P05","LivingRoom","Novel",7,"First",NA,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0,0.333333333333333,0.333333333333333,0.166666666666667
"P05","StorageRoom","Novel",7,"First",NA,1,1,0.333333333333333,0,0,0,1,1,0.333333333333333
"P06","Bedroom","Familiar",4,"Second",NA,0.333333333333333,0,0.166666666666667,0.277777777777778,0,0.0740740740740741,0.0555555555555555,0,0.0925925925925926
"P06","Classroom","Familiar",3,"Second",NA,0.666666666666667,0.166666666666667,0.166666666666667,0.277777777777778,0,0.0740740740740741,0.388888888888889,0.166666666666667,0.0925925925925926
"P06","Gym","Familiar",3,"Second",NA,0.666666666666667,0,0,0.277777777777778,0,0.0740740740740741,0.388888888888889,0,-0.0740740740740741
"P06","Library","Novel",3,"First",NA,0.833333333333333,0.666666666666667,0.166666666666667,0.277777777777778,0,0.0740740740740741,0.555555555555556,0.666666666666667,0.0925925925925926
"P06","LivingRoom","Novel",6,"First",NA,0.166666666666667,0.166666666666667,0,0.277777777777778,0,0.0740740740740741,-0.111111111111111,0.166666666666667,-0.0740740740740741
"P06","StorageRoom","Novel",6,"First",NA,0.5,0,0.333333333333333,0.277777777777778,0,0.0740740740740741,0.222222222222222,0,0.259259259259259
"P07","Bedroom","Familiar",5,"First",NA,0.833333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0,0.111111111111111,0.5,0.166666666666667,0.222222222222222
"P07","Classroom","Familiar",5,"First",NA,0.833333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0,0.111111111111111,0.5,0.166666666666667,0.0555555555555556
"P07","Gym","Familiar",6,"First",NA,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.111111111111111,0.333333333333333,0.333333333333333,0.222222222222222
"P07","Library","Novel",6,"Second",NA,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0,0.111111111111111,0.333333333333333,0.333333333333333,0.388888888888889
"P07","StorageRoom","Novel",6,"Second",NA,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0,0.111111111111111,0.166666666666667,0.333333333333333,0.0555555555555556
"P08","Bedroom","Familiar",6,"First",NA,0.833333333333333,0.833333333333333,0.333333333333333,0.166666666666667,0.0555555555555556,0.0555555555555556,0.666666666666667,0.777777777777778,0.277777777777778
"P08","Classroom","Familiar",3,"Second",NA,0.5,0.5,0.333333333333333,0.166666666666667,0.0555555555555556,0.0555555555555556,0.333333333333333,0.444444444444444,0.277777777777778
"P08","Gym","Familiar",1,"Second",NA,0.833333333333333,0.666666666666667,0.666666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,0.666666666666667,0.611111111111111,0.611111111111111
"P08","Library","Novel",5,"Second",NA,1,0.833333333333333,0.666666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,0.833333333333333,0.777777777777778,0.611111111111111
"P08","LivingRoom","Novel",6,"First",NA,0.166666666666667,0.166666666666667,0,0.166666666666667,0.0555555555555556,0.0555555555555556,0,0.111111111111111,-0.0555555555555556
"P08","StorageRoom","Novel",3,"First",NA,0.833333333333333,0.5,0.333333333333333,0.166666666666667,0.0555555555555556,0.0555555555555556,0.666666666666667,0.444444444444444,0.277777777777778
