Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
Library,RugbyBall,7.581284,0.3,14.65329
Library,Openner,-2.41015,0.3,8.843987
Library,Cabbaage,7.123226,0.3,9.993483
Library,Pineapple,-3.479749,0.3,13.71612
Library,NikonCamera,-6.855892,0.3,4.433555
Library,Paprika,2.272186,0.3,1.986273

