BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7,9.6,50.5,Mouse,Right
2,-4,9.6,43,EggBeater,Right
3,-7.25,9.6,49.5,BaseballBat,Left
4,7,9.6,58,Teacup,Left
5,4.7,11.871,51,NikonCamera,Left
6,-3,9.6,55,Openner,Left

