"Room","Object","Order"
"Bedroom","PiggyBank",1
"Bedroom","MechanicalGloves",2
"Bedroom","Grape",3
"Bedroom","Teacup",4
"Bedroom","BaseballBat",5
"Bedroom","Toaster",6
"Classroom","Kettle",1
"Classroom","Squeezer",2
"Classroom","Openner",3
"Classroom","Calculator",4
"Classroom","HTCViveController",5
"Classroom","OfficeBin",6
"Gym","Avocado",1
"Gym","Pineapple",2
"Gym","Stapler",3
"Gym","JBLSpeaker",4
"Gym","Controller",5
"Gym","Mouse",6
"Library","EggBeater",1
"Library","Padella",2
"Library","CleaningBucket",3
"Library","NikonCamera",4
"Library","HandDrill",5
"Library","MokeExpress",6
"LivingRoom","PencilSharpener",1
"LivingRoom","Muffin",2
"LivingRoom","MilkCarton",3
"LivingRoom","Mushroom",4
"LivingRoom","RugbyBall",5
"LivingRoom","Spoons",6
"StorageRoom","SaltSub",1
"StorageRoom","Typewriter",2
"StorageRoom","Apple",3
"StorageRoom","Paprika",4
"StorageRoom","Headphones",5
"StorageRoom","Cabbaage",6
