"Item" "Order" "SubjectNo" "Room"
"Mushroom" 1 "P87" "Bedroom"
"Typewriter" 2 "P87" "Bedroom"
"CleaningBucket" 3 "P87" "Bedroom"
"PencilSharpener" 4 "P87" "Bedroom"
"Padella" 5 "P87" "Bedroom"
"Cabbaage" 6 "P87" "Bedroom"
"Mouse" 1 "P87" "Classroom"
"EggBeater" 2 "P87" "Classroom"
"BaseballBat" 3 "P87" "Classroom"
"Teacup" 4 "P87" "Classroom"
"NikonCamera" 5 "P87" "Classroom"
"Openner" 6 "P87" "Classroom"
"MechanicalGloves" 1 "P87" "Gym"
"Kettle" 2 "P87" "Gym"
"Headphones" 3 "P87" "Gym"
"Calculator" 4 "P87" "Gym"
"RugbyBall" 5 "P87" "Gym"
"Avocado" 6 "P87" "Gym"
"JBLSpeaker" 1 "P87" "Library"
"Paprika" 2 "P87" "Library"
"Squeezer" 3 "P87" "Library"
"Spoons" 4 "P87" "Library"
"Apple" 5 "P87" "Library"
"HandDrill" 6 "P87" "Library"
"Stapler" 1 "P87" "LivingRoom"
"Grape" 2 "P87" "LivingRoom"
"Pineapple" 3 "P87" "LivingRoom"
"OfficeBin" 4 "P87" "LivingRoom"
"HTCViveController" 5 "P87" "LivingRoom"
"MilkCarton" 6 "P87" "LivingRoom"
"Controller" 1 "P87" "StorageRoom"
"SaltSub" 2 "P87" "StorageRoom"
"Toaster" 3 "P87" "StorageRoom"
"PiggyBank" 4 "P87" "StorageRoom"
"Muffin" 5 "P87" "StorageRoom"
"MokeExpress" 6 "P87" "StorageRoom"
