Room,Curiosity,Interest
SPA,8,8
ArtStudio,6,7
Office,5,7
MeetingRoom,5,5
Kindergarten,8,8
Lounge,4,4
LivingRoom,5,7
Kitchen,7,8
Classroom,4,4
Bedroom,4,8
StorageRoom,3,3
Gym,4,5
Museum,4,4
Cafe,6,7
Library,7,7
KTV,8,4

