"SubjectNo" "Room" "Group" "CuriosityRating" "RoomOrder" "ItemFAR" "ItemAccuracy" "ContextAccuracy" "HitRate" "SeenHit" "CorrSeenHit"
"P13" "Bedroom" "Familiar" 4 "First" 0.611111111111111 0.0555555555555555 0.166666666666667 0.666666666666667 0.333333333333333 0.333333333333333
"P13" "Classroom" "Familiar" 4 "Second" 0.611111111111111 0.388888888888889 0.5 1 0.666666666666667 0.666666666666667
"P13" "Gym" "Familiar" 3 "Second" 0.611111111111111 0.222222222222222 0.5 0.833333333333333 0.333333333333333 0.333333333333333
"P13" "LivingRoom" "Novel" 7 "Second" 0.611111111111111 0.0555555555555555 0.166666666666667 0.666666666666667 0.333333333333333 0.333333333333333
"P13" "Library" "Novel" 6 "First" 0.611111111111111 0.222222222222222 0.166666666666667 0.833333333333333 0.666666666666667 0.666666666666667
"P13" "StorageRoom" "Novel" 7 "First" 0.611111111111111 0.0555555555555555 0.166666666666667 0.666666666666667 0.5 0.5
"P14" "Bedroom" "Familiar" 5 "Second" 0.222222222222222 0.444444444444444 0.333333333333333 0.666666666666667 0.5 0.5
"P14" "Classroom" "Familiar" 3 "Second" 0.222222222222222 0.111111111111111 0.166666666666667 0.333333333333333 0.166666666666667 0.166666666666667
"P14" "Gym" "Familiar" 4 "Second" 0.222222222222222 0.277777777777778 0.166666666666667 0.5 0.333333333333333 0.333333333333333
"P14" "LivingRoom" "Novel" 7 "First" 0.222222222222222 0.611111111111111 0.5 0.833333333333333 0.666666666666667 0.666666666666667
"P14" "Library" "Novel" 7 "First" 0.222222222222222 0.611111111111111 0.166666666666667 0.833333333333333 0.833333333333333 0.833333333333333
"P14" "StorageRoom" "Novel" 6 "First" 0.222222222222222 0.611111111111111 0 0.833333333333333 0.333333333333333 0.333333333333333
"P15" "Bedroom" "Familiar" 4 "First" 0.5 0 0.333333333333333 0.5 0.333333333333333 0.333333333333333
"P15" "Classroom" "Familiar" 1 "Second" 0.5 0.333333333333333 0.666666666666667 0.833333333333333 0.333333333333333 0.333333333333333
"P15" "Gym" "Familiar" 4 "Second" 0.5 0 0.166666666666667 0.5 0 0
"P15" "LivingRoom" "Novel" 6 "First" 0.5 0.333333333333333 0.5 0.833333333333333 0.666666666666667 0.666666666666667
"P15" "Library" "Novel" 7 "Second" 0.5 0.166666666666667 0 0.666666666666667 0.166666666666667 0.166666666666667
"P15" "StorageRoom" "Novel" 5 "First" 0.5 0 0.166666666666667 0.333333333333333 0 0
"P16" "Bedroom" "Familiar" 4 "First" 0.111111111111111 0.388888888888889 0.333333333333333 0.5 0.166666666666667 0.166666666666667
"P16" "Classroom" "Familiar" 2 "First" 0.111111111111111 0.722222222222222 0.666666666666667 0.833333333333333 0.333333333333333 0.333333333333333
"P16" "Gym" "Familiar" 5 "Second" 0.111111111111111 0.388888888888889 0.333333333333333 0.5 0.5 0.5
"P16" "LivingRoom" "Novel" 7 "Second" 0.111111111111111 0.222222222222222 0.166666666666667 0.333333333333333 0 0
"P16" "Library" "Novel" 7 "First" 0.111111111111111 0.555555555555556 0.333333333333333 0.666666666666667 0.333333333333333 0.333333333333333
"P16" "StorageRoom" "Novel" 7 "Second" 0.111111111111111 0.388888888888889 0.333333333333333 0.5 0.5 0.5
"P18" "Bedroom" "Familiar" 2 "Second" 0.388888888888889 0.277777777777778 0.333333333333333 0.666666666666667 0 0
"P18" "Classroom" "Familiar" 5 "Second" 0.388888888888889 0 0 0.333333333333333 0 0
"P18" "Gym" "Familiar" 3 "First" 0.388888888888889 0.444444444444444 0.166666666666667 0.833333333333333 0.666666666666667 0.666666666666667
"P18" "LivingRoom" "Novel" 7 "First" 0.388888888888889 0 0 0.333333333333333 0 0
"P18" "Library" "Novel" 6 "Second" 0.388888888888889 0.277777777777778 0.166666666666667 0.666666666666667 0.166666666666667 0.166666666666667
