"SubjectNo" "ItemOrderType" "CuriosityRatingType" "Accuracy" "SeenHit" "ContextAccuracy"
"P13" "Late" "Low" 0.666666666666667 0.333333333333333 0.333333333333333
"P13" "Early" "Low" 1 0.333333333333333 0.666666666666667
"P13" "Early" "High" 0.666666666666667 0.333333333333333 0.111111111111111
"P13" "Late" "High" 0.777777777777778 0.666666666666667 0.222222222222222
"P14" "Early" "High" 0.833333333333333 0.666666666666667 0.333333333333333
"P14" "Late" "High" 0.75 0.5 0.166666666666667
"P14" "Late" "Low" 0.333333333333333 0 0.333333333333333
"P14" "Early" "Low" 0.333333333333333 0.333333333333333 0
"P15" "Early" "Low" 1 0.666666666666667 0.666666666666667
"P15" "Late" "Low" 0.666666666666667 0 0.666666666666667
"P15" "Early" "High" 0.555555555555556 0.222222222222222 0.222222222222222
"P15" "Late" "High" 0.666666666666667 0.333333333333333 0.222222222222222
"P16" "Early" "Low" 0.666666666666667 0 0.666666666666667
"P16" "Late" "Low" 1 0.666666666666667 0.666666666666667
"P16" "Early" "High" 0.416666666666667 0.25 0.166666666666667
"P16" "Late" "High" 0.583333333333333 0.416666666666667 0.416666666666667
"P18" "Early" "Low" 0.666666666666667 0.5 0
"P18" "Late" "Low" 0.833333333333333 0.166666666666667 0.5
"P18" "Late" "High" 0.333333333333333 0 0
"P18" "Early" "High" 0.555555555555556 0.111111111111111 0.111111111111111
"P19" "Late" "High" 0.666666666666667 0.333333333333333 0.166666666666667
"P19" "Early" "High" 0.416666666666667 0.166666666666667 0.333333333333333
"P19" "Early" "Low" 0.666666666666667 0.166666666666667 0.166666666666667
"P19" "Late" "Low" 0.833333333333333 0.5 0.166666666666667
"P20" "Early" "High" 0.333333333333333 0.333333333333333 0.222222222222222
"P20" "Late" "High" 0.555555555555556 0.444444444444444 0.222222222222222
"P20" "Late" "Low" 0.333333333333333 0.166666666666667 0.333333333333333
"P20" "Early" "Low" 0.166666666666667 0.166666666666667 0
"P22" "Early" "High" 0.166666666666667 0 0
"P22" "Late" "High" 0.666666666666667 0.333333333333333 0.166666666666667
"P22" "Early" "Low" 0.5 0.166666666666667 0.333333333333333
"P22" "Late" "Low" 0.166666666666667 0 0
"P23" "Late" "High" 0.75 0.5 0
"P23" "Early" "High" 0.916666666666667 0.833333333333333 0.25
"P24" "Early" "High" 0.555555555555556 0.222222222222222 0
"P24" "Late" "High" 0.222222222222222 0.222222222222222 0.111111111111111
"P24" "Late" "Low" 0.166666666666667 0 0.166666666666667
"P24" "Early" "Low" 0 0 0
"P26" "Early" "High" 0.888888888888889 0.555555555555556 0.444444444444444
"P26" "Late" "High" 1 0.777777777777778 0.222222222222222
"P26" "Early" "Low" 0.666666666666667 0.222222222222222 0.111111111111111
"P26" "Late" "Low" 0.888888888888889 0.444444444444444 0.111111111111111
"P27" "Early" "High" 0.666666666666667 0.444444444444444 0.333333333333333
"P27" "Late" "High" 0.666666666666667 0.222222222222222 0.222222222222222
"P27" "Early" "Low" 0.666666666666667 0.5 0.166666666666667
"P27" "Late" "Low" 0.5 0 0.333333333333333
"P28" "Early" "High" 0.555555555555556 0.333333333333333 0.444444444444444
"P28" "Late" "High" 0.111111111111111 0.111111111111111 0
"P28" "Early" "Low" 0.555555555555556 0.111111111111111 0.333333333333333
"P28" "Late" "Low" 0.222222222222222 0 0.111111111111111
"P29" "Late" "High" 0.5 0.166666666666667 0.333333333333333
"P29" "Early" "High" 0.666666666666667 0.166666666666667 0.5
"P29" "Late" "Low" 0.888888888888889 0.333333333333333 0.555555555555556
"P29" "Early" "Low" 0.555555555555556 0.333333333333333 0.111111111111111
"P30" "Late" "High" 0.5 0.25 0.166666666666667
"P30" "Early" "High" 0.333333333333333 0.166666666666667 0.0833333333333333
"P31" "Early" "High" 0.222222222222222 0 0
"P31" "Late" "High" 0 0 0
"P31" "Early" "Low" 0.555555555555556 0.222222222222222 0.333333333333333
"P31" "Late" "Low" 0.666666666666667 0.222222222222222 0.222222222222222
"P32" "Early" "High" 0.777777777777778 0.333333333333333 0.333333333333333
"P32" "Late" "High" 0.111111111111111 0.111111111111111 0
"P32" "Late" "Low" 0.555555555555556 0.222222222222222 0.222222222222222
"P32" "Early" "Low" 0.444444444444444 0.444444444444444 0.444444444444444
"P33" "Early" "Low" 0.111111111111111 0 0.111111111111111
"P33" "Late" "Low" 0.333333333333333 0.111111111111111 0.222222222222222
"P33" "Late" "High" 0.333333333333333 0 0.222222222222222
"P33" "Early" "High" 0.666666666666667 0.333333333333333 0.333333333333333
"P34" "Late" "Low" 0.555555555555556 0 0.111111111111111
"P34" "Early" "Low" 0.555555555555556 0 0
"P34" "Early" "High" 0.666666666666667 0.111111111111111 0.555555555555556
"P34" "Late" "High" 0.777777777777778 0.111111111111111 0.333333333333333
"P35" "Late" "High" 0.555555555555556 0.222222222222222 0.222222222222222
"P35" "Early" "High" 0.444444444444444 0.111111111111111 0.111111111111111
"P35" "Early" "Low" 0.5 0 0.166666666666667
"P35" "Late" "Low" 0.666666666666667 0 0.333333333333333
"P36" "Early" "High" 0.666666666666667 0.416666666666667 0.166666666666667
"P36" "Late" "High" 0.416666666666667 0.25 0
"P36" "Late" "Low" 0.666666666666667 0 0.333333333333333
"P36" "Early" "Low" 0 0 0
"P37" "Early" "Low" 0.777777777777778 0.222222222222222 0.111111111111111
"P37" "Late" "Low" 0.777777777777778 0.666666666666667 0.333333333333333
"P37" "Early" "High" 0.888888888888889 0.777777777777778 0.444444444444444
"P37" "Late" "High" 0.777777777777778 0.222222222222222 0
"P38" "Early" "High" 0.533333333333333 0.266666666666667 0.266666666666667
"P38" "Late" "High" 0.733333333333333 0.4 0.266666666666667
"P38" "Late" "Low" 0.333333333333333 0 0
"P38" "Early" "Low" 1 0.333333333333333 0.333333333333333
"P39" "Late" "High" 0.333333333333333 0.166666666666667 0.166666666666667
"P39" "Early" "High" 0.75 0.583333333333333 0.25
"P39" "Early" "Low" 0.333333333333333 0.333333333333333 0
"P39" "Late" "Low" 0.666666666666667 0 0.333333333333333
"P40" "Early" "High" 0.333333333333333 0 0.111111111111111
"P40" "Late" "High" 0.222222222222222 0 0.111111111111111
"P40" "Early" "Low" 0.222222222222222 0.111111111111111 0
"P40" "Late" "Low" 0.333333333333333 0 0.222222222222222
"P41" "Early" "Low" 0.166666666666667 0 0
"P41" "Late" "Low" 0.333333333333333 0 0
"P41" "Late" "High" 0.111111111111111 0 0
"P41" "Early" "High" 0.222222222222222 0 0.111111111111111
"P42" "Early" "Low" 0.888888888888889 0.777777777777778 0.333333333333333
"P42" "Late" "Low" 1 0.555555555555556 0.333333333333333
"P42" "Late" "High" 0.833333333333333 0.333333333333333 0.166666666666667
"P42" "Early" "High" 0.833333333333333 0.666666666666667 0.166666666666667
"P43" "Early" "High" 0.733333333333333 0.733333333333333 0.266666666666667
"P43" "Late" "High" 0.733333333333333 0.666666666666667 0.133333333333333
"P44" "Late" "High" 0.444444444444444 0.222222222222222 0.333333333333333
"P44" "Early" "High" 0.888888888888889 0.333333333333333 0.222222222222222
"P44" "Early" "Low" 0.5 0.333333333333333 0.166666666666667
"P44" "Late" "Low" 0.333333333333333 0.166666666666667 0.166666666666667
"P45" "Late" "High" 0.5 0.166666666666667 0.25
"P45" "Early" "High" 0.833333333333333 0.5 0.25
