Room,OutsideDuration,InsideDuration
Kindergarten,26.64134,36.6651
ArtStudio,24.82775,55.11241
Museum,24.02436,46.60018
LivingRoom,23.75167,51.84679
Bedroom,25.6713,55.24973
Lounge,24.1904,31.55063
MeetingRoom,23.99589,30.03514
Kitchen,24.2576,63.22124
SPA,24.29046,37.47434
Gym,23.80626,17.76948
Classroom,23.82589,23.9307
Cafe,25.22632,41.21737
StorageRoom,24.60744,10.54692
KTV,24.04433,41.80447
Office,23.96541,39.15918
Library,26.17835,47.24038

