Room,Curiosity,Interest
Kindergarten,6,6
ArtStudio,7,8
Museum,8,8
LivingRoom,4,8
Bedroom,7,9
Lounge,9,4
MeetingRoom,2,3
Kitchen,9,7
SPA,9,10
Gym,9,3
Classroom,3,2
Cafe,6,5
StorageRoom,1,1
KTV,7,7
Office,4,8
Library,2,5

