Object,Scene,Response,Rt
Clock_FLIPPED,Office,New,2.610903
HTCViveController,Gym,New,0.9304714
Grape,None,New,1.278221
Oranges,LivingRoom,New,0.9582253
NikonCamera,None,Familiar,0.9448662
Padella,None,Familiar,1.361267
BaseballBat,None,Familiar,0.9370804
Pineapple,None,New,1.138706
HandHeldRadio,ArtStudio,Familiar,1.083073
Kettle,Gym,Familiar,1.048752
Coconut,StorageRoom,New,1.215015
Openner,None,Seen,1.04826
Kiwi,LivingRoom,New,0.9165535
Mouse,StorageRoom,Familiar,1.173645
Dish,Lounge,New,0.8334351
Markers,Cafe,Familiar,0.8620148
MilkCarton,Museum,New,0.8822441
Mushroom,None,Familiar,1.416389
Carrots,None,New,0.8747253
Brush,LivingRoom,New,1.11129
CacerolaPan,None,Seen,1.069115
CleaningBucket,None,New,0.6594238
Toothpaste,Kindergarten,Familiar,1.1595
HTCVive,MeetingRoom,Familiar,1.096886
Candle Lattern,MeetingRoom,Familiar,0.9452057
Calculator,Office,Seen,1.089951
FireExtinguisher,Office,Seen,0.7223969
Lasagna,None,New,0.6112671
Avocado,KTV,New,0.6598358
Icecream,Kindergarten,New,0.6184921
CoffeeMachine,None,Familiar,1.361488
BallonDog,Library,New,0.8330154
RasberryJam_FLIPPED,SPA,Familiar,1.493195
AmazonEcho_FLIPPED,ArtStudio,Familiar,0.9027786
Headphones,None,Seen,0.6942749
Pomegranate,None,New,0.8683472
RockingHorse,None,New,1.083527
ShowerHead,None,Familiar,1.139114
Squeezer,Library,New,0.6112976
Kela,None,New,0.8886871
BandShell,None,New,0.8400345
Paprika,SPA,Seen,1.374855
MetalBucket,Museum,Seen,0.8261032
RetroFan,None,Seen,0.8612442
CokeBottle_FLIPPED,Bedroom,Familiar,1.048744
Watermelon,StorageRoom,New,0.6872177
Cake,None,Seen,1.069778
Lipsticks,None,New,1.389099
IceBoots,None,Familiar,1.055725
Teacup,None,Familiar,1.840179
Basketball,Cafe,New,0.5136414
CoffeePot,Lounge,Familiar,1.805283
Cabbaage,ArtStudio,New,0.9025574
Matrioshka,None,Seen,1.201569
RoadCone,Gym,New,1.312714
PaintBucket,Gym,New,1.263687
SaltSub,Cafe,Familiar,1.360901
Controller,None,Familiar,0.9373016
RugbyBall,None,New,0.7292938
Official hat,Classroom,New,1.132141
Hammer,Office,Familiar,1.423737
DeskLight,None,Familiar,0.9511261
Basket,Kitchen,New,0.7225037
Laptop,None,Familiar,1.232697
Toaster,Office,Seen,0.8955994
JBLSpeaker,StorageRoom,New,1.208511
Stapler,Lounge,Familiar,0.9234467
Clamps,Lounge,Familiar,1.277512
Cereal_FLIPPED,KTV,New,0.6040192
PeanutButter,None,New,0.9581757
MosquitoRacket,Museum,New,0.7567749
Mixer,None,Familiar,0.9790649
Lotion_FLIPPED,MeetingRoom,New,0.7982788
Glasses,None,New,1.277573
YellowDuck,LivingRoom,New,0.9306488
Pears,Bedroom,New,0.5899811
FacialCream,KTV,New,0.9932556
Garlic,Bedroom,New,0.6595001
Shoe,Library,New,0.7223511
Highlighter,None,New,0.5975952
Chaynik,ArtStudio,New,1.083206
Honey_FLIPPED,Bedroom,New,0.8682861
Apple,SPA,Familiar,1.715012
Skateboard,Gym,Familiar,0.9997559
Banana,Bedroom,New,0.6182251
BirdCage,Cafe,New,1.013657
PiggyBank,MeetingRoom,New,1.000244
Deer,ArtStudio,Seen,1.576202
Chips,StorageRoom,New,1.166885
OrangeJuice,ArtStudio,New,0.9719696
Sandals,SPA,New,1.194138
Cupcake,SPA,New,0.9863129
CandyBar,None,New,1.368164
TennisBall,KTV,New,0.6663513
StrawberryDonut,None,Familiar,1.214996
Car02,Museum,New,0.5641327
Recorder,None,Familiar,1.194489
Caiban,None,New,1.027542
Vanish,Bedroom,New,0.8886566
Ganmianzhang,Classroom,Familiar,1.076508
CinRoll,Gym,New,0.6385498
HandDrill,Classroom,Familiar,0.8885345
Motorbike,None,New,0.9862671
Cocktail,None,New,0.7154388
Router,Kindergarten,New,0.7984619
MobilePhone_FLIPPED,MeetingRoom,Familiar,1.659424
Pinza,Cafe,Familiar,1.089935
Xmas Globe,None,New,0.9522705
Scent,None,New,0.826355
Downy,LivingRoom,New,0.6803894
Pumpkin,None,New,0.6529236
Slippers,None,New,0.6665039
Car01,None,New,0.8058167
Buiscuits_FLIPPED,KTV,New,0.6317749
ClothesBasket,Cafe,New,0.6248779
Mango,Museum,New,0.7154846
Tide,Kitchen,New,0.6941528
UGGboot,None,New,0.7913818
Ketchup,None,Familiar,1.256836
Cheese,Kitchen,New,0.8122253
MechanicalGloves,Library,Familiar,1.458466
OfficeBin,StorageRoom,Seen,1.527649
Marmite_FLIPPED,Library,New,0.784668
CottonSticks,Classroom,New,0.6261292
Jam,Office,New,0.67453
EggBeater,Kindergarten,Seen,2.249756
Bus,None,New,0.9798584
NailScissors,MeetingRoom,New,0.9234314
Perrier,Library,New,0.8052979
Strawberries,KTV,New,0.7707214
PencilSharpener,Kitchen,Seen,1.534576
SecurityCam,LivingRoom,Seen,1.319214
Cucumber,Kitchen,New,0.8747253
Muffin,Kitchen,New,1.326141
Jug,Lounge,New,0.7845459
MokaEspress,SPA,Familiar,1.23587
FiellaCase,Kindergarten,Seen,2.006775
Flower,None,New,0.9302063
Weimeng,Museum,New,0.5693054
Suitcase,None,New,0.9376831
Canister,Classroom,New,0.6525574
Wheels,Lounge,New,1.23642
FirstAidKit,Classroom,Seen,1.819702
LegoTruck,Kindergarten,New,0.5492554

