"Item" "Order" "SubjectNo" "Room"
"MilkCarton" 1 "P15" "Bedroom"
"HTCViveController" 2 "P15" "Bedroom"
"Padella" 3 "P15" "Bedroom"
"Muffin" 4 "P15" "Bedroom"
"Stapler" 5 "P15" "Bedroom"
"Headphones" 6 "P15" "Bedroom"
"Avocado" 1 "P15" "Classroom"
"Typewriter" 2 "P15" "Classroom"
"Calculator" 3 "P15" "Classroom"
"Kettle" 4 "P15" "Classroom"
"EggBeater" 5 "P15" "Classroom"
"JBLSpeaker" 6 "P15" "Classroom"
"PiggyBank" 1 "P15" "Gym"
"Cabbaage" 2 "P15" "Gym"
"PencilSharpener" 3 "P15" "Gym"
"Paprika" 4 "P15" "Gym"
"MechanicalGloves" 5 "P15" "Gym"
"RugbyBall" 6 "P15" "Gym"
"Spoons" 1 "P15" "Library"
"Openner" 2 "P15" "Library"
"Controller" 3 "P15" "Library"
"Pineapple" 4 "P15" "Library"
"SaltSub" 5 "P15" "Library"
"Mushroom" 6 "P15" "Library"
"Squeezer" 1 "P15" "LivingRoom"
"Grape" 2 "P15" "LivingRoom"
"Apple" 3 "P15" "LivingRoom"
"OfficeBin" 4 "P15" "LivingRoom"
"Mouse" 5 "P15" "LivingRoom"
"NikonCamera" 6 "P15" "LivingRoom"
"MokeExpress" 1 "P15" "StorageRoom"
"CleaningBucket" 2 "P15" "StorageRoom"
"Toaster" 3 "P15" "StorageRoom"
"BaseballBat" 4 "P15" "StorageRoom"
"Teacup" 5 "P15" "StorageRoom"
"HandDrill" 6 "P15" "StorageRoom"
