Room,Curiosity,Interest
StorageRoom,2,1
ArtStudio,8,9
SPA,4,6
Kindergarten,2,3
Library,1,5
Lounge,4,5
MeetingRoom,2,2
Museum,8,9
Classroom,1,1
LivingRoom,4,7
Office,2,7
Cafe,5,8
Gym,3,3
Kitchen,4,8
Bedroom,7,8
KTV,6,7

