BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7,9.6,58,Mouse,Right
2,-7.25,9.6,49.5,OfficeBin,Left
3,-3,9.6,55,Cabbaage,Left
4,-4,9.6,43,Padella,Right
5,7,9.6,50.5,Openner,Right
6,4.7,11.871,51,Squeezer,Left

