BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,2,9.6,43,Apple,Right
2,1.6,12.55,56.7,Kettle,Right
3,-7,9.6,58,BaseballBat,Left
4,6,9.6,51.8,HandDrill,Right
5,-7,11.02,49.5,Teacup,Right
6,-2.25,9.6,53,Stapler,Left

