Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
StorageRoom,Controller,6.780289,0.3,14.59989
StorageRoom,CleaningBucket,-6.617337,0.3,4.369192
StorageRoom,Mouse,1.824822,0.3,5.825234
StorageRoom,Muffin,-7.084421,0.3,14.16973
StorageRoom,Teacup,6.138362,0.3,2.640768
StorageRoom,HTCViveController,3.358139,0.3,15.04251

