Room,OutsideDuration,InsideDuration
LivingRoom,23.8787,107.6507
Gym,22.18332,57.56171
Library,21.16185,57.14932
Bedroom,20.84752,67.76316
StorageRoom,20.94056,47.34386
Classroom,19.72221,49.26955

