BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,0.8,9.6,44.2,CoffeeMachine,Left
2,-7.5,9.6,44,Toothpaste,Right
3,-7,9.6,56,Matrioshka,Right
4,-1,9.6,57,MobilePhone,Left
5,5,9.6,55,CokeCan,Right
6,7.25,9.6,50,MosquitoRacket,Left

