Room,OutsideDuration,InsideDuration
StorageRoom,21.51464,104.4505
Classroom,23.882,110.3312
Library,24.04672,84.42089
Gym,21.57673,111.3996
LivingRoom,21.47564,120.2997
Bedroom,21.64914,120.7815

