BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7,9.6,50.5,StrawberryDonut,Right
2,-4,9.6,43,Microphone,Right
3,-7.25,9.6,49.5,TennisBall,Right
4,-3,9.6,55,Toothpaste,Left
5,7,9.6,58,Hammer,Left
6,4.7,11.871,51,Recorder,Left

