"Item" "Order" "SubjectNo" "Room"
"BaseballBat" 1 "P63" "Bedroom"
"HTCViveController" 2 "P63" "Bedroom"
"Padella" 3 "P63" "Bedroom"
"MilkCarton" 4 "P63" "Bedroom"
"Toaster" 5 "P63" "Bedroom"
"Openner" 6 "P63" "Bedroom"
"CleaningBucket" 1 "P63" "Classroom"
"HandDrill" 2 "P63" "Classroom"
"MechanicalGloves" 3 "P63" "Classroom"
"Cabbaage" 4 "P63" "Classroom"
"Controller" 5 "P63" "Classroom"
"Avocado" 6 "P63" "Classroom"
"Teacup" 1 "P63" "Gym"
"Muffin" 2 "P63" "Gym"
"RugbyBall" 3 "P63" "Gym"
"PencilSharpener" 4 "P63" "Gym"
"Squeezer" 5 "P63" "Gym"
"Typewriter" 6 "P63" "Gym"
"PiggyBank" 1 "P63" "Library"
"Paprika" 2 "P63" "Library"
"JBLSpeaker" 3 "P63" "Library"
"Pineapple" 4 "P63" "Library"
"Kettle" 5 "P63" "Library"
"Headphones" 6 "P63" "Library"
"SaltSub" 1 "P63" "LivingRoom"
"NikonCamera" 2 "P63" "LivingRoom"
"Calculator" 3 "P63" "LivingRoom"
"Mushroom" 4 "P63" "LivingRoom"
"Spoons" 5 "P63" "LivingRoom"
"Grape" 6 "P63" "LivingRoom"
"Apple" 1 "P63" "StorageRoom"
"Mouse" 2 "P63" "StorageRoom"
"OfficeBin" 3 "P63" "StorageRoom"
"Stapler" 4 "P63" "StorageRoom"
"EggBeater" 5 "P63" "StorageRoom"
"MokeExpress" 6 "P63" "StorageRoom"
