Room,OutsideDuration,InsideDuration
LivingRoom,23.61574,234.9033
Classroom,26.72266,145.0121
Library,23.76283,91.24725
Bedroom,21.50221,87.46287
StorageRoom,22.1929,66.73891
Gym,21.70955,64.99822

