"Item" "Order" "SubjectNo" "Room"
"Spoons" 1 "P62" "Bedroom"
"MokeExpress" 2 "P62" "Bedroom"
"Muffin" 3 "P62" "Bedroom"
"Calculator" 4 "P62" "Bedroom"
"Cabbaage" 5 "P62" "Bedroom"
"Typewriter" 6 "P62" "Bedroom"
"Pineapple" 1 "P62" "Classroom"
"EggBeater" 2 "P62" "Classroom"
"SaltSub" 3 "P62" "Classroom"
"Headphones" 4 "P62" "Classroom"
"PencilSharpener" 5 "P62" "Classroom"
"CleaningBucket" 6 "P62" "Classroom"
"HTCViveController" 1 "P62" "Gym"
"Avocado" 2 "P62" "Gym"
"HandDrill" 3 "P62" "Gym"
"Padella" 4 "P62" "Gym"
"Openner" 5 "P62" "Gym"
"MechanicalGloves" 6 "P62" "Gym"
"Apple" 1 "P62" "Library"
"Paprika" 2 "P62" "Library"
"PiggyBank" 3 "P62" "Library"
"OfficeBin" 4 "P62" "Library"
"Stapler" 5 "P62" "Library"
"Grape" 6 "P62" "Library"
"RugbyBall" 1 "P62" "LivingRoom"
"BaseballBat" 2 "P62" "LivingRoom"
"Kettle" 3 "P62" "LivingRoom"
"Controller" 4 "P62" "LivingRoom"
"Mouse" 5 "P62" "LivingRoom"
"Toaster" 6 "P62" "LivingRoom"
"NikonCamera" 1 "P62" "StorageRoom"
"Teacup" 2 "P62" "StorageRoom"
"JBLSpeaker" 3 "P62" "StorageRoom"
"MilkCarton" 4 "P62" "StorageRoom"
"Squeezer" 5 "P62" "StorageRoom"
"Mushroom" 6 "P62" "StorageRoom"
