BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,7.25,9.6,50,Laptop,Right
2,-1,9.6,57,Toothpaste,Right
3,-7,9.6,56,Pinza,Right
4,-7.5,9.6,44,TennisBall,Right
5,0.8,9.6,44.2,CoffeeMachine,Right
6,5,9.6,55,OldRadio,Right

