BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,5.5,9.6,50.25,CokeCan,Right
2,-6,9.6,44,HTCVive,Left
3,-2.95,9.6,53,StrawberryDonut,Left
4,-1,12.5,57,UGGboot,Right
5,-0.5,9.6,58,CinRoll,Left
6,7.5,11.02,58,PaperCoffeeCup,Right

