Room,Curiosity,Interest
LivingRoom,5,8
Gym,8,9
Museum,8,9
SPA,8,10
KTV,10,10
StorageRoom,8,7
Classroom,4,8
Lounge,4,5
Library,4,7
MeetingRoom,5,5
Kitchen,6,6
Bedroom,7,8
ArtStudio,9,10
Cafe,4,4
Kindergarten,6,5
Office,3,7

