BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-3.66,9.6,57.675,Teacup,Left
2,-3.4,9.6,52.25,Pineapple,Right
3,7.5,9.6,58,Muffin,Right
4,7,9.6,52,PiggyBank,Left
5,2.2,9.6,49,MilkCarton,Right
6,-5.25,9.6,43.75,MokeExpress,Left

