"Item" "Order" "SubjectNo" "Room"
"SaltSub" 1 "P36" "Bedroom"
"MokeExpress" 2 "P36" "Bedroom"
"Grape" 3 "P36" "Bedroom"
"NikonCamera" 4 "P36" "Bedroom"
"Mushroom" 5 "P36" "Bedroom"
"Spoons" 6 "P36" "Bedroom"
"Muffin" 1 "P36" "Classroom"
"BaseballBat" 2 "P36" "Classroom"
"Kettle" 3 "P36" "Classroom"
"Padella" 4 "P36" "Classroom"
"PencilSharpener" 5 "P36" "Classroom"
"Mouse" 6 "P36" "Classroom"
"EggBeater" 1 "P36" "Gym"
"PiggyBank" 2 "P36" "Gym"
"Headphones" 3 "P36" "Gym"
"MilkCarton" 4 "P36" "Gym"
"HTCViveController" 5 "P36" "Gym"
"Typewriter" 6 "P36" "Gym"
"Calculator" 1 "P36" "Library"
"Toaster" 2 "P36" "Library"
"Controller" 3 "P36" "Library"
"JBLSpeaker" 4 "P36" "Library"
"Openner" 5 "P36" "Library"
"RugbyBall" 6 "P36" "Library"
"Pineapple" 1 "P36" "LivingRoom"
"Cabbaage" 2 "P36" "LivingRoom"
"Stapler" 3 "P36" "LivingRoom"
"CleaningBucket" 4 "P36" "LivingRoom"
"Avocado" 5 "P36" "LivingRoom"
"Apple" 6 "P36" "LivingRoom"
"OfficeBin" 1 "P36" "StorageRoom"
"MechanicalGloves" 2 "P36" "StorageRoom"
"Teacup" 3 "P36" "StorageRoom"
"Paprika" 4 "P36" "StorageRoom"
"Squeezer" 5 "P36" "StorageRoom"
"HandDrill" 6 "P36" "StorageRoom"
