Room,Curiosity,Interest
Gym,3,2
LivingRoom,6,7
Classroom,4,3
ArtStudio,8,8
Lounge,5,2
Library,8,6
Kitchen,7,5
MeetingRoom,3,1
Cafe,7,6
Office,2,4
Bedroom,7,8
SPA,8,3
StorageRoom,7,3
KTV,6,2
Museum,9,6
Kindergarten,5,4

