Room,OutsideDuration,InsideDuration
Gym,24.22376,40.86355
Classroom,25.44671,61.29795
SPA,24.55651,52.35437
MeetingRoom,23.45869,23.23916
Kindergarten,23.87041,41.4579
Library,25.37005,60.28251
Lounge,27.70624,69.26416
Office,24.24061,48.86095
ArtStudio,24.28526,97.53701
Cafe,25.05233,53.04606
StorageRoom,23.83977,45.29819
Bedroom,25.44869,26.61662
Kitchen,25.25111,24.83052
LivingRoom,24.28991,26.0628
Museum,25.1542,20.58537
KTV,24.89703,29.2449

