"Item" "Order" "SubjectNo" "Room"
"Paprika" 1 "P74" "Bedroom"
"HandDrill" 2 "P74" "Bedroom"
"Kettle" 3 "P74" "Bedroom"
"Openner" 4 "P74" "Bedroom"
"Squeezer" 5 "P74" "Bedroom"
"Teacup" 6 "P74" "Bedroom"
"Spoons" 1 "P74" "Classroom"
"Mushroom" 2 "P74" "Classroom"
"Headphones" 3 "P74" "Classroom"
"MilkCarton" 4 "P74" "Classroom"
"NikonCamera" 5 "P74" "Classroom"
"Toaster" 6 "P74" "Classroom"
"Avocado" 1 "P74" "Gym"
"MechanicalGloves" 2 "P74" "Gym"
"SaltSub" 3 "P74" "Gym"
"Typewriter" 4 "P74" "Gym"
"PiggyBank" 5 "P74" "Gym"
"HTCViveController" 6 "P74" "Gym"
"Calculator" 1 "P74" "Library"
"PencilSharpener" 2 "P74" "Library"
"Apple" 3 "P74" "Library"
"Stapler" 4 "P74" "Library"
"Controller" 5 "P74" "Library"
"EggBeater" 6 "P74" "Library"
"Padella" 1 "P74" "LivingRoom"
"RugbyBall" 2 "P74" "LivingRoom"
"Grape" 3 "P74" "LivingRoom"
"Muffin" 4 "P74" "LivingRoom"
"JBLSpeaker" 5 "P74" "LivingRoom"
"OfficeBin" 6 "P74" "LivingRoom"
"MokeExpress" 1 "P74" "StorageRoom"
"Mouse" 2 "P74" "StorageRoom"
"BaseballBat" 3 "P74" "StorageRoom"
"CleaningBucket" 4 "P74" "StorageRoom"
"Cabbaage" 5 "P74" "StorageRoom"
"Pineapple" 6 "P74" "StorageRoom"
