Room,Curiosity,Interest
Library,3,7
StorageRoom,9,1
Classroom,2,6
ArtStudio,7,10
KTV,1,7
Office,1,8
Museum,4,4
Lounge,6,2
Bedroom,1,4
Kitchen,8,5
SPA,9,10
Cafe,6,9
Kindergarten,10,4
LivingRoom,2,7
Gym,9,6
MeetingRoom,1,2

