Room,Curiosity,Interest
MeetingRoom,1,2
Kindergarten,3,6
Gym,4,6
Classroom,2,1
Bedroom,2,5
Library,1,5
Cafe,6,8
Office,1,7
KTV,7,8
Museum,6,9
Lounge,4,5
SPA,8,7
StorageRoom,1,1
Kitchen,3,6
ArtStudio,9,10
LivingRoom,3,8

