Room,Curiosity,Interest
Bedroom,4,5
Gym,5,3
MeetingRoom,6,2
Museum,5,4
ArtStudio,5,5
Library,4,2
Cafe,4,3
Kindergarten,4,2
Office,2,3
Kitchen,4,3
KTV,3,2
LivingRoom,4,5
Classroom,3,2
Lounge,3,3
SPA,5,4
StorageRoom,2,1

