Room,OutsideDuration,InsideDuration
Bedroom,24.32512,87.99837
Gym,24.9609,39.86492
MeetingRoom,25.664,26.28256
Museum,25.23401,64.37177
ArtStudio,24.39557,69.76292
Library,24.68764,57.98537
Cafe,25.76652,30.44196
Kindergarten,25.60591,46.45315
Office,24.75462,31.74272
Kitchen,23.89396,43.36792
KTV,24.42431,33.30594
LivingRoom,24.21097,44.83261
Classroom,24.85144,17.09829
Lounge,23.15971,32.67091
SPA,24.48894,34.3599
StorageRoom,25.05607,18.79804

