Room,Curiosity,Interest
Office,3,6
Kitchen,5,5
StorageRoom,6,6
Cafe,5,4
Lounge,4,3
Kindergarten,5,4
Library,6,7
KTV,8,8
Museum,6,7
Gym,6,6
LivingRoom,5,5
ArtStudio,6,6
Bedroom,7,7
MeetingRoom,2,3
Classroom,7,4
SPA,8,9

