BoxNo,BoxPos_X,BoxPos_Y,BoxPos_Z,Object,Side
1,-7,11.02,49.5,Chaynik,Left
2,-2.25,9.6,53,Toothpaste,Right
3,-7,9.6,58,UGGboot,Left
4,1.6,12.55,56.7,WineBottle,Right
5,6,9.6,51.8,CokeCan,Right
6,2,9.6,43,Matrioshka,Left

