Room,OutsideDuration,InsideDuration
StorageRoom,25.51822,187.5438
Gym,24.09795,71.97543
Library,23.44592,75.86665
Bedroom,22.81223,77.83407
LivingRoom,23.54801,78.18027
Classroom,22.76411,68.49644

