"Item" "Order" "SubjectNo" "Room"
"MokeExpress" 1 "P35" "Bedroom"
"PencilSharpener" 2 "P35" "Bedroom"
"Spoons" 3 "P35" "Bedroom"
"Avocado" 4 "P35" "Bedroom"
"Muffin" 5 "P35" "Bedroom"
"HTCViveController" 6 "P35" "Bedroom"
"SaltSub" 1 "P35" "Classroom"
"Pineapple" 2 "P35" "Classroom"
"Squeezer" 3 "P35" "Classroom"
"Padella" 4 "P35" "Classroom"
"OfficeBin" 5 "P35" "Classroom"
"Controller" 6 "P35" "Classroom"
"JBLSpeaker" 1 "P35" "Gym"
"Openner" 2 "P35" "Gym"
"Calculator" 3 "P35" "Gym"
"EggBeater" 4 "P35" "Gym"
"PiggyBank" 5 "P35" "Gym"
"HandDrill" 6 "P35" "Gym"
"Kettle" 1 "P35" "Library"
"Mushroom" 2 "P35" "Library"
"Grape" 3 "P35" "Library"
"Headphones" 4 "P35" "Library"
"MechanicalGloves" 5 "P35" "Library"
"Mouse" 6 "P35" "Library"
"Stapler" 1 "P35" "LivingRoom"
"Teacup" 2 "P35" "LivingRoom"
"NikonCamera" 3 "P35" "LivingRoom"
"Toaster" 4 "P35" "LivingRoom"
"Cabbaage" 5 "P35" "LivingRoom"
"MilkCarton" 6 "P35" "LivingRoom"
"CleaningBucket" 1 "P35" "StorageRoom"
"BaseballBat" 2 "P35" "StorageRoom"
"Apple" 3 "P35" "StorageRoom"
"Paprika" 4 "P35" "StorageRoom"
"Typewriter" 5 "P35" "StorageRoom"
"RugbyBall" 6 "P35" "StorageRoom"
