Room,Curiosity,Interest
Library,2,3
SPA,5,6
StorageRoom,1,1
Lounge,4,2
Cafe,3,1
Gym,4,6
Office,2,2
MeetingRoom,7,1
KTV,8,7
ArtStudio,3,2
Kindergarten,8,4
Bedroom,8,3
Classroom,2,1
Museum,5,3
Kitchen,2,7
LivingRoom,1,3

