"Item" "Order" "SubjectNo" "Room"
"Apple" 1 "P64" "Bedroom"
"Pineapple" 2 "P64" "Bedroom"
"JBLSpeaker" 3 "P64" "Bedroom"
"MechanicalGloves" 4 "P64" "Bedroom"
"Calculator" 5 "P64" "Bedroom"
"Headphones" 6 "P64" "Bedroom"
"Squeezer" 1 "P64" "Classroom"
"Mushroom" 2 "P64" "Classroom"
"Padella" 3 "P64" "Classroom"
"HandDrill" 4 "P64" "Classroom"
"HTCViveController" 5 "P64" "Classroom"
"NikonCamera" 6 "P64" "Classroom"
"Grape" 1 "P64" "Gym"
"Paprika" 2 "P64" "Gym"
"Typewriter" 3 "P64" "Gym"
"Mouse" 4 "P64" "Gym"
"Cabbaage" 5 "P64" "Gym"
"EggBeater" 6 "P64" "Gym"
"MilkCarton" 1 "P64" "Library"
"OfficeBin" 2 "P64" "Library"
"MokeExpress" 3 "P64" "Library"
"Controller" 4 "P64" "Library"
"Avocado" 5 "P64" "Library"
"SaltSub" 6 "P64" "Library"
"Spoons" 1 "P64" "LivingRoom"
"Teacup" 2 "P64" "LivingRoom"
"PencilSharpener" 3 "P64" "LivingRoom"
"Muffin" 4 "P64" "LivingRoom"
"Kettle" 5 "P64" "LivingRoom"
"RugbyBall" 6 "P64" "LivingRoom"
"Openner" 1 "P64" "StorageRoom"
"BaseballBat" 2 "P64" "StorageRoom"
"Toaster" 3 "P64" "StorageRoom"
"PiggyBank" 4 "P64" "StorageRoom"
"CleaningBucket" 5 "P64" "StorageRoom"
"Stapler" 6 "P64" "StorageRoom"
